site_id,latitude,longitude,name,postcode,suburb,display_brand,brand
61401106,-27.452584,153.041807,BP Newstead,4006,"Brisbane Exhibition, Mayne, Herston, Fortitude Valley, Bowen Bridge, Fortitude Valley Bc, Newstead, Bowen Hills",🟢 BP,BP
61401117,-27.483891,153.020309,Liberty Highgate Hill,4101,"Mater Hill, South Brisbane Bc, Mater Hospital, West End, South Brisbane, South Bank, Highgate Hill",⛽ Independent,Independent
61401118,-27.48469982543029,153.03976776686477,7-Eleven East Brisbane,4169,"East Brisbane, Stanley Bridge, Kangaroo Point",🟠 7-Eleven,7-Eleven
61401119,-27.479316,153.043606,BP East Brisbane,4169,"East Brisbane, Stanley Bridge, Kangaroo Point",🟢 BP,BP
61401124,-27.490753,153.040153,Ampol Foodary Woolloongabba,4102,"Woolloongabba, Princess Alexandra Hospital, Buranda, Dutton Park",🔴 Ampol,Ampol
61401126,-27.467628,153.007504,BP Milton,4064,"Rosalie, Baroona, Paddington, Milton Bc, Milton",🟢 BP,BP
61401128,-27.452187,153.062044,Shell Reddy Express Balmoral,4171,"Hawthorne, Balmoral, Galloways Hill, Bulimba",🟡 Shell,Shell
61401132,-27.488386,153.047595,BP Stanley Street East,4169,"East Brisbane, Stanley Bridge, Kangaroo Point",🟢 BP,BP
61401134,-27.491978,153.064833,Ampol Foodary Camp Hill,4152,"Carina, Camp Hill, Whites Hill, Carina Heights, Carindale, Carina North",🔴 Ampol,Ampol
61401136,-27.483909,153.063748,Caltex Norman Park,4170,"Seven Hills, Norman Park, Morningside, Colmslie, Cannon Hill",🔴 Ampol,Ampol
61401137,-27.479358,153.071094,Freedom Fuels Seven Hills,4170,"Seven Hills, Norman Park, Morningside, Colmslie, Cannon Hill",⛽ Independent,Independent
61401138,-27.492781,153.082664,Shell Reddy Express Camp Hill,4152,"Carina, Camp Hill, Whites Hill, Carina Heights, Carindale, Carina North",🟡 Shell,Shell
61401140,-27.46640548892771,153.07819476837022,Caltex Morningside,4170,"Seven Hills, Norman Park, Morningside, Colmslie, Cannon Hill",🔴 Ampol,Ampol
61401142,-27.466503,153.079198,Ampol Foodary Colmslie,4170,"Seven Hills, Norman Park, Morningside, Colmslie, Cannon Hill",🔴 Ampol,Ampol
61401147,-27.469816,153.095634,BP Cannon Hill,4170,"Seven Hills, Norman Park, Morningside, Colmslie, Cannon Hill",🟢 BP,BP
61401148,-27.471389,153.095619,Shell Reddy Express Cannon Hill,4170,"Seven Hills, Norman Park, Morningside, Colmslie, Cannon Hill",🟡 Shell,Shell
61401149,-27.474597374792506,153.12096549570083,Shell Reddy Express Tingalpa,4173,"Tingalpa Dc, Tingalpa, Tingalpa Bc",🟡 Shell,Shell
61401155,-27.505555,153.099646,Ampol Foodary Carindale,4152,"Carina, Camp Hill, Whites Hill, Carina Heights, Carindale, Carina North",🔴 Ampol,Ampol
61401156,-27.488687,153.194782,Freedom Fuels Thorneside,4158,Thorneside,⛽ Independent,Independent
61401157,-27.494931,153.212762,EG Ampol Birkdale,4159,Birkdale,🔴 Ampol,Ampol
61401159,-27.487062,153.238493,BP Wellington Point,4160,"Wellington Point, Erobin, Ormiston",🟢 BP,BP
61401160,-27.523907,153.258759,BP Cleveland,4163,"Cleveland Dc, Cleveland",🟢 BP,BP
61401167,-27.507802,152.948185,Ampol Foodary Kenmore,4069,"Pullenvale, Pinjarra Hills, Lone Pine, Brookfield, Kenmore Dc, Kenmore East, Fig Tree Pocket, Upper Brookfield, Chapel Hill, Kenmore, Kenmore Hills",🔴 Ampol,Ampol
61401170,-27.504769592318205,152.96077843320464,Shell Reddy Express Chapel Hill,4069,"Pullenvale, Pinjarra Hills, Lone Pine, Brookfield, Kenmore Dc, Kenmore East, Fig Tree Pocket, Upper Brookfield, Chapel Hill, Kenmore, Kenmore Hills",🟡 Shell,Shell
61401172,-27.491609,152.994039,Shell Reddy Express Taringa,4067,"St Lucia South, St Lucia, Ironside",🟡 Shell,Shell
61401173,-27.499530327092497,152.9754396405449,BP Indooroopilly,4068,"Long Pocket, Indooroopilly Centre, Indooroopilly, Taringa, Chelmer",🟢 BP,BP
61401177,-27.521931,152.980164,7-Eleven Graceville,4075,"Corinda, Oxley, Graceville East, Graceville, Sherwood",🟠 7-Eleven,7-Eleven
61401180,-27.532831,152.983247,United Sherwood,4075,"Corinda, Oxley, Graceville East, Graceville, Sherwood",🔵 United,United
61401183,-27.512236,153.032024,Ampol Foodary Annerley,4103,"Annerley Dc, Thompson Estate, Fairfield Gardens, Annerley, Fairfield",🔴 Ampol,Ampol
61401185,-27.508609,153.025429,7-Eleven Fairfield Gardens,4103,"Annerley Dc, Thompson Estate, Fairfield Gardens, Annerley, Fairfield",🟠 7-Eleven,7-Eleven
61401188,-27.519285,153.015135,7-Eleven Yeronga,4104,"Yeronga, Yeronga West",🟠 7-Eleven,7-Eleven
61401189,-27.524123,153.023568,7-Eleven Moorvale,4105,"Tennyson, Clifton Hill, Moorvale, Moorooka, Yeerongpilly",🟠 7-Eleven,7-Eleven
61401195,-27.539627,153.022022,EG Ampol Moorooka,4105,"Tennyson, Clifton Hill, Moorvale, Moorooka, Yeerongpilly",🔴 Ampol,Ampol
61401199,-27.502373,153.045544,BP Stones Corner,4120,"Greenslopes, Loreto Hill, Stones Corner",🟢 BP,BP
61401200,-27.504612,153.040209,7-Eleven Greenslopes,4120,"Greenslopes, Loreto Hill, Stones Corner",🟠 7-Eleven,7-Eleven
61401206,-27.696645,153.038101,U-Go Park Ridge,4125,"Munruben, Park Ridge South, Park Ridge",⛽ Independent,Independent
61401210,-27.515107,153.072439,NightOwl BP Holland Park,4121,"Tarragindi, Mount Thompson, Holland Park West, Ekibin, Holland Park East, Wellers Hill, Holland Park",🟢 BP,BP
61401212,-27.529893329941103,153.07154507422237,Shell Reddy Express Logan Rd,4122,"Mount Gravatt East, Upper Mount Gravatt, Mansfield, Mount Gravatt, Upper Mount Gravatt Bc, Mansfield Dc, Mansfield Bc, Wishart",🟡 Shell,Shell
61401218,-27.199148,153.032128,Liberty Deception Bay,4508,Deception Bay,⛽ Independent,Independent
61401224,-27.226826,153.084902,Ampol Foodary Kippa-Ring,4021,Kippa-Ring,🔴 Ampol,Ampol
61401225,-27.241169,153.086872,Metro Clontarf,4019,"Scotts Point, Woody Point, Humpybong, Clontarf Dc, Clontarf, Margate, Margate Beach, Clontarf Beach",⛽ Independent,Independent
61401227,-27.222051,153.110819,Caltex Redcliffe,4020,"Redcliffe, Redcliffe North, Scarborough, Newport",🔴 Ampol,Ampol
61401228,-27.230354,153.109317,7-Eleven Redcliffe,4020,"Redcliffe, Redcliffe North, Scarborough, Newport",🟠 7-Eleven,7-Eleven
61401229,-27.229577,153.102033,Ampol Foodary Redcliffe,4020,"Redcliffe, Redcliffe North, Scarborough, Newport",🔴 Ampol,Ampol
61401234,-27.257355,153.086063,Shell Reddy Express Clontarf,4019,"Scotts Point, Woody Point, Humpybong, Clontarf Dc, Clontarf, Margate, Margate Beach, Clontarf Beach",🟡 Shell,Shell
61401235,-27.255871,153.094417,BP Boulevarde,4019,"Scotts Point, Woody Point, Humpybong, Clontarf Dc, Clontarf, Margate, Margate Beach, Clontarf Beach",🟢 BP,BP
61401238,-27.254478,152.982078,Red Dog Petroleum,4503,"Kurwongbah, Kallangur, Griffin, Whiteside, Dakabin, Murrumba Downs, Dohles Rocks",⛽ Independent,Independent
61401246,-27.307774,152.990528,7-Eleven Strathpine,4500,"Bray Park, Strathpine, Clear Mountain, Warner, Brendale Dc, Joyner, Brendale Bc, Strathpine City, Strathpine Centre, Cashmere, Brendale",🟠 7-Eleven,7-Eleven
61401249,-27.337933,152.960099,7-Eleven Eatons Hill,4037,Eatons Hill,🟠 7-Eleven,7-Eleven
61401250,-27.319376,153.006967,7-Eleven Bald Hills,4036,Bald Hills,🟠 7-Eleven,7-Eleven
61401252,-27.319382,153.040903,U-Go Bracken Ridge,4017,"Nashville, Shorncliffe, Brighton Eventide, Sandgate, Sandgate Dc, Brighton, Brighton Nathan Street, Deagon, Bracken Ridge",⛽ Independent,Independent
61401254,-27.325029,153.059461,Pacific Petroleum Deagon,4017,"Nashville, Shorncliffe, Brighton Eventide, Sandgate, Sandgate Dc, Brighton, Brighton Nathan Street, Deagon, Bracken Ridge",⛽ Independent,Independent
61401255,-27.321786,153.067499,Metro Petroleum Sandgate,4017,"Nashville, Shorncliffe, Brighton Eventide, Sandgate, Sandgate Dc, Brighton, Brighton Nathan Street, Deagon, Bracken Ridge",⛽ Independent,Independent
61401257,-27.321088,153.067931,7-Eleven Sandgate,4017,"Nashville, Shorncliffe, Brighton Eventide, Sandgate, Sandgate Dc, Brighton, Brighton Nathan Street, Deagon, Bracken Ridge",🟠 7-Eleven,7-Eleven
61401258,-27.330999,153.041854,BP Bracken Ridge,4017,"Nashville, Shorncliffe, Brighton Eventide, Sandgate, Sandgate Dc, Brighton, Brighton Nathan Street, Deagon, Bracken Ridge",🟢 BP,BP
61401261,-27.334055,153.059565,EG Ampol Deagon,4017,"Nashville, Shorncliffe, Brighton Eventide, Sandgate, Sandgate Dc, Brighton, Brighton Nathan Street, Deagon, Bracken Ridge",🔴 Ampol,Ampol
61401263,-27.366786,153.037181,Caltex Zillmere,4034,"Carseldine, Aspley, Geebung, Zillmere, Boondall",🔴 Ampol,Ampol
61401264,-27.358443,153.017037,7-Eleven Aspley,4034,"Carseldine, Aspley, Geebung, Zillmere, Boondall",🟠 7-Eleven,7-Eleven
61401265,-27.359961,153.016587,Shell Reddy Express Aspley,4034,"Carseldine, Aspley, Geebung, Zillmere, Boondall",🟡 Shell,Shell
61401272,-27.391747,153.011652,Shell Reddy Express Stafford Heights,4053,"Stafford Heights, Everton Hills, Mcdowall, Mitchelton, Stafford City, Stafford Dc, Oxford Park, Somerset Hills, Brookside Centre, Everton Park, Stafford Bc, Stafford",🟡 Shell,Shell
61401276,-27.364758,153.026257,7-Eleven Aspley,4034,"Carseldine, Aspley, Geebung, Zillmere, Boondall",🟠 7-Eleven,7-Eleven
61401279,-27.374203,153.061916,BP Connect Virginia,4014,"Virginia Bc, Virginia, Banyo, Virginia Dc, Nudgee Beach, Nudgee",🟢 BP,BP
